date,title,url,content
2012-01-01 11:24:45+00:00,Unboxed Extra: I.B.M. and America’s Job Challenge,https://bits.blogs.nytimes.com/2012/01/01/unboxed-extra-ibm-and-americas-job-challenge/,"I.B.M. is a corporate pioneer in globalization, but the company’s success has not meant more jobs in the United States. Its experience holds lessons for the American economy, corporations and workers. “You can’t be in the commodity space, says Sam Palmisano, the departing I.B.M. chief executive. “You need to have the advanced skills that the future requires.”"
2012-01-02 23:58:32+00:00,"On Wall Street, Renewed Optimism for Deal-Making",https://dealbook.nytimes.com/2012/01/02/on-wall-street-a-renewed-optimism-for-deals/,"According to a recent study by Ernst & Young, 36 percent of companies plan to pursue an acquisition in 2012."
2012-01-06 18:39:50+00:00,A Historical Cycle Bodes Ill for the Markets,https://www.nytimes.com/2012/01/07/business/economy/a-historical-cycle-bodes-ill-for-the-markets.html,"In what appears to be a recurring 15-year cycle, the compound annual return of the S.& P. stock index peaks at more than 15 percent, then plunges. It’s plunge time."
2012-01-09 12:00:31+00:00,This Week in Small Business: For the Win!,https://boss.blogs.nytimes.com/2012/01/09/this-week-in-small-business-for-the-win/,Plus: Do your employees offer dissenting viewpoints?
2012-01-10 02:19:27+00:00,UniCredit’s Weak Share Offering a Poor Omen in Europe,https://dealbook.nytimes.com/2012/01/09/unicredits-weak-stock-offering-is-poor-omen-in-europe/,"Even a steep discount drew tepid interest in UniCredit’s rights offering, raising the question of how Europe’s banks can get capital from skeptical markets."
2012-01-11 04:19:35+00:00,"Stanley Kwan, Hang Seng Index Creator, Dies at 86",https://www.nytimes.com/2012/01/11/business/global/stanley-kwan-hang-seng-index-creator-dies-at-86.html,Mr. Kwan worked with his staff at the Hang Seng Bank to devise a widely used gauge for the Hong Kong Stock Exchange.
2012-01-17 20:02:38+00:00,European Central Bankers Criticize Role of Rating Agencies,https://www.nytimes.com/2012/01/18/business/global/european-central-bankers-criticize-role-of-rating-agencies.html,The heads of the European Central Bank and the Bank of England are urging investors to pay less attention to ratings downgrades of euro zone countries.
2012-02-01 02:40:55+00:00,"In January, a Calm Fell on the Markets",https://www.nytimes.com/2012/02/01/business/in-january-a-rare-calm-fell-on-the-markets.html,Volatility eased as investors appeared to take in stride the latest developments in the European debt crisis and persistent worries about economic growth.
2012-02-08 05:11:06+00:00,Do I Hear Eight Percent? How About Seven?,https://india.blogs.nytimes.com/2012/02/08/do-i-hear-eight-percent-how-about-seven/,Predicting India’s economic growth is a very uncertain business.
2012-02-08 10:00:02+00:00,Why Do We Still Care About the Dow?,https://www.nytimes.com/2012/02/12/magazine/dow-jones-problems.html,"Imagine you know someone with pointed opinions, and is often wrong. Would you ask him for financial advice?"
2012-02-08 23:34:39+00:00,An Alternative That Avoids Overpriced Stocks,https://www.nytimes.com/2012/02/09/business/rafi-a-popular-strategy-to-avoid-overpriced-stocks.html,"Using Research Affiliates Fundamental Indexing, known as RAFI, can help an investor avoid the turmoil in today’s unpredictable markets."
2012-02-09 00:32:46+00:00,Taking Back Your Business,https://www.nytimes.com/2012/02/09/business/taking-back-your-business.html,Entrepreneurs who have seen the companies they sold hurt by bad management or a bad economy often get the urge to take back control.
2012-02-16 13:40:41+00:00,Strong Demand Supports a Spanish Bond Auction,https://www.nytimes.com/2012/02/17/business/global/strong-demand-holds-at-spanish-bond-auction.html,Spain is leading the pack in Europe in making use of the window of opportunity offered by the European Central Bank's expanded lending to euro zone banks.
2012-02-22 19:25:46+00:00,Palestine Securities Exchange a Bright Spot in Equities,https://www.nytimes.com/2012/02/23/world/middleeast/palestine-securities-exchange-a-bright-spot-in-equities.html,"Analysts say investor interest in public Palestinian companies has grown over the past two years, a time when initial public offerings have remained at a standstill elsewhere in the Middle East."
2012-02-24 02:24:11+00:00,Bank of America Breaks With Fannie Mae,https://www.nytimes.com/2012/02/24/business/bank-of-america-breaks-with-fannie-mae.html,The bank’s move represents a major escalation in a protracted legal battle over how many defaulted mortgages Bank of America will have to buy back from Fannie.
2012-02-27 14:41:35+00:00,Blackstone Makes $2 Billion Natural Gas Investment,https://dealbook.nytimes.com/2012/02/27/blackstone-makes-2-billion-natural-gas-investment/,"The investment will help Cheniere Energy build a facility in Sabine Pass, La., where natural gas will be compressed, chilled and shipped to Europe, Asia and other foreign markets on giant ships."
2012-03-14 16:15:57+00:00,"A Jobs Bill That Will Provide Help, but for All the Wrong People",https://dealbook.nytimes.com/2012/03/14/a-jobs-bill-that-will-provide-help-but-for-all-the-wrong-people/,"The Jump-Start Our Business Start-Ups Act will bring much-needed help to some of those hardest hit by the economic downturn: Wall Street analysts, short-sellers and lobbyists."
2012-03-19 11:00:51+00:00,This Week in Small Business,https://boss.blogs.nytimes.com/2012/03/19/this-week-in-small-business-follow-the-titanic/,"Big ideas from South by Southwest, an increase in small-business optimism and mixed recovery numbers from February."
2012-03-20 11:23:19+00:00,"As Woes Recede, Europe’s Public Offerings Find Favor",https://dealbook.nytimes.com/2012/03/20/investor-appetite-grows-for-european-i-p-o-s/,"After months of economic uncertainty caused by the European debt crisis, investors are starting to venture back into the Continent’s improving financial markets, as DKSH and Ziggo are expected to raise more than a combined $2 billion through I.P.O.’s."
2012-03-22 17:48:23+00:00,"Senate Passes Start-Ups Bill, With Amendments",https://www.nytimes.com/2012/03/23/business/senate-passes-start-ups-bill-with-amendments.html,"The Jump-start Our Business Start-ups, or JOBS, Act is meant to ease rules to create jobs and raise financing for small companies."
2012-03-23 16:45:13+00:00,What Stocks and G.D.P. Say About Obama’s Chances,https://www.nytimes.com/2012/03/24/business/economy/election-insight-from-the-stock-market-and-gdp.html,"President Obama has done well if you judge his administration by the performance of the stock market, but not as well if you look at the economy."
2012-03-27 22:51:26+00:00,Final Approval by House Sends Jobs Bill to President for Signature,https://www.nytimes.com/2012/03/28/us/politics/final-approval-by-house-sends-jobs-bill-to-president-for-signature.html,The package of measures is an effort to ease access to capital and investments for entrepreneurs and to hasten a labor market recovery.
2012-03-28 11:21:46+00:00,Bertelsmann Weighs I.P.O. to Finance Expansion,https://dealbook.nytimes.com/2012/03/28/bertelsmann-weighs-i-p-o-to-finance-expansion/,"The move is an about-face for Europe’s largest media company, whose controlling family has long resisted going public."
2012-04-04 11:55:17+00:00,Spain Jolts Euro Zone Back on Alert,https://www.nytimes.com/2012/04/05/business/global/european-central-bank-leaves-interest-rates-unchanged.html,"After a disappointing Spanish bond auction, the European Central Bank cited concerns about a slowdown in the economy and a possible resurgence of the sovereign debt crisis."
2012-04-06 02:58:10+00:00,Obama Signs Bill to Promote Start-Up Investments,https://www.nytimes.com/2012/04/06/us/politics/obama-signs-bill-to-ease-investing-in-start-ups.html,President Obama was eager to highlight his administration’s efforts to revive the job market on the eve of another politically significant employment report.
2012-04-07 18:17:47+00:00,"Another Rally, but a New Cast of Characters",https://www.nytimes.com/2012/04/08/your-money/classic-growth-stocks-are-leading-this-market-rally.html,"The rising market in the first quarter was built on technology and consumer stocks, not the safe, income-producing shares that led it higher at the start of 2011."
2012-04-07 18:25:32+00:00,Latin American Markets Aim for a New Decade of Gains,https://www.nytimes.com/2012/04/08/business/mutfund/latin-american-stocks-aim-for-a-new-decade-of-gains.html,Analysts see continued economic success for the region — and for investors who keep money there for the long haul.
2012-04-07 19:51:55+00:00,"Democratize Wall Street, for Social Good",https://www.nytimes.com/2012/04/08/business/democratize-wall-street-for-social-good.html,Financial innovations — from small-business loans to limited liability for investors — have long delivered much good to society. A concept in the new jobs law offers yet another example.
2012-04-09 11:00:37+00:00,This Week in Small Business: Meatball or Sausage?,https://boss.blogs.nytimes.com/2012/04/09/this-week-in-small-business-meatball-or-sausage/,"Plus: America is becoming the new Middle East, large-bank lending to small businesses remains flat, and the power of testimonials."
2012-04-13 11:11:17+00:00,JPMorgan Chase’s Earnings Beat Expectations,https://dealbook.nytimes.com/2012/04/13/jpmorgan-chases-earnings-beat-expectations/,"JPMorgan Chase reported better-than-expected revenue growth, buoyed by improving credit conditions among consumers and continued demand for new loans."
2012-04-13 16:19:42+00:00,Poland Trying to Build Banks' Defenses,https://www.nytimes.com/2012/04/14/business/global/poland-trying-to-build-banks-defenses.html,Poland says it is open to foreign direct investment from any source but might balk at the acqusition of domestic banks by a Russian lender.
2012-04-16 12:25:03+00:00,Securities Czar Aims to Make China’s Markets Respectable,https://www.nytimes.com/2012/04/17/business/global/securities-czar-aims-to-make-chinas-markets-respectable.html,"For Guo Shuqing, gaining the confidence of gun-shy retail investors will be crucial if China is to build stable markets that can fund world-class companies and generate reliable returns for retirees."
2012-04-30 03:37:50+00:00,Looking to Frontier Markets for Next Big Thing in Investing,https://www.nytimes.com/2012/04/30/business/global/looking-to-frontier-markets-for-next-big-thing-in-investing.html,"Investment advisers who focus on the developing world contend that many so-called frontier markets, especially in Africa, offer opportunities similar to the fledgling markets of earlier generations."
2012-05-04 00:34:23+00:00,U.S. Chose Better Path to Recovery,https://www.nytimes.com/2012/05/04/business/us-chose-better-path-to-economic-recovery.html,"American policy makers have made decisions in the last year that strengthened the nation’s economy, while their European counterparts have made costly missteps."
2012-05-07 01:38:27+00:00,Stock Trading Is Still Falling After ’08 Crisis,https://www.nytimes.com/2012/05/07/business/stock-trading-remains-in-a-slide-after-08-crisis.html,"Stock volumes have dwindled since the financial crisis, and some fear that investors wary of stocks may have trouble generating respectable returns from the ultralow interest rates of the bond market."
2012-05-07 04:21:08+00:00,Markets Are Calm After Political Shake-Up in Europe,https://www.nytimes.com/2012/05/08/business/global/daily-stock-market-activity.html,Stocks were mixed Monday on Wall Street as weekend election results in Greece and France added to the uncertainty created by last week’s disappointing jobs data in the United States.
2012-05-07 11:00:13+00:00,This Week in Small Business: Richard Branson’s Head,https://boss.blogs.nytimes.com/2012/05/07/this-week-in-small-business-richard-bransons-head/,"Plus: a two-second pitch, battle of the Pauls, restaurants perform, and are entrepreneurs fleeing?"
2012-05-08 12:19:33+00:00,What They Said: India’s Changing Tax Rules,https://india.blogs.nytimes.com/2012/05/08/what-they-said-indias-changing-tax-rules/,Finance Minister Mukherjee’s tax rollback was welcomed in some quarters and criticized in others.
2012-05-17 17:21:51+00:00,Spain Tries to Calm Fears About Ailing Lender,https://www.nytimes.com/2012/05/18/business/global/spain-tries-to-calm-fears-about-ailing-lender.html,"A week after Spain seized control of Bankia, the government was forced to deny that clients were scrambling to withdraw funds from the lender."
2012-05-18 14:05:42+00:00,Markets End Week With a Losing Streak Intact,https://www.nytimes.com/2012/05/19/business/daily-stock-market-activity.html,Excitement about Facebook did not keep the major indexes from losing ground for the third week in a row.
